latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-8.095189999999999,131.03099,352.6,0.36,0.58,2019-11-17,406,N,nominal,1.0NRT,302.4,17.8,D
-8.09564,131.02765,341.2,0.36,0.58,2019-11-17,406,N,nominal,1.0NRT,296.3,17.8,D
-8.089839999999999,131.03026,337.9,0.36,0.58,2019-11-17,406,N,nominal,1.0NRT,296.1,17.8,D
-7.96183,131.22226,331.0,0.35,0.57,2019-11-17,406,N,nominal,1.0NRT,296.0,1.8,D
-7.96315,131.22095,345.8,0.35,0.57,2019-11-17,406,N,nominal,1.0NRT,296.7,3.8,D
-7.33657,131.47659,334.5,0.33,0.55,2019-11-17,406,N,nominal,1.0NRT,298.8,3.3,D
-7.1611899999999995,131.53769,330.1,0.33,0.55,2019-11-17,406,N,nominal,1.0NRT,299.1,4.3,D
-5.6246599999999995,132.31297,331.0,0.55,0.51,2019-11-17,406,N,nominal,1.0NRT,296.0,7.0,D
-3.2551200000000002,127.02094,328.0,0.58,0.7,2019-11-17,406,N,nominal,1.0NRT,289.3,3.4,D
-3.25562,127.02331000000001,327.2,0.58,0.7,2019-11-17,406,N,nominal,1.0NRT,289.6,2.6,D
-3.09081,126.64833,329.4,0.61,0.71,2019-11-17,406,N,nominal,1.0NRT,289.8,7.3,D
-3.09346,126.64896999999999,326.6,0.61,0.71,2019-11-17,406,N,nominal,1.0NRT,289.6,4.9,D
-0.83735,133.6972,333.9,0.57,0.43,2019-11-17,406,N,nominal,1.0NRT,293.4,4.9,D
-10.76478,123.22158999999999,335.8,0.59,0.52,2019-11-17,548,N,nominal,1.0NRT,305.3,4.1,D
-10.76189,123.22353000000001,340.1,0.59,0.53,2019-11-17,548,N,nominal,1.0NRT,304.8,5.9,D
-10.31673,123.58793999999999,330.9,0.63,0.54,2019-11-17,548,N,low,1.0NRT,304.4,3.1,D
-10.27468,123.56371999999999,334.8,0.63,0.54,2019-11-17,548,N,nominal,1.0NRT,305.7,1.7,D
-10.27502,123.56648,331.1,0.63,0.54,2019-11-17,548,N,low,1.0NRT,305.2,3.1,D
-10.18027,124.00838,367.0,0.34,0.56,2019-11-17,548,N,high,1.0NRT,308.3,4.8,D
-10.17972,124.0114,348.6,0.34,0.56,2019-11-17,548,N,nominal,1.0NRT,308.6,4.8,D
-10.174,124.01357,340.5,0.34,0.56,2019-11-17,548,N,nominal,1.0NRT,308.5,4.2,D
-10.17055,123.97379,348.8,0.34,0.56,2019-11-17,548,N,nominal,1.0NRT,305.4,5.2,D
-10.16657,123.93721000000001,337.2,0.33,0.56,2019-11-17,548,N,nominal,1.0NRT,303.4,0.9,D
-10.523760000000001,121.88118999999999,337.0,0.48,0.48,2019-11-17,548,N,low,1.0NRT,308.2,6.0,D
